
1903	An early semiconductor diode - the first silicon crystal detector - was patented.					
	The first PCB (printed circuit board) was engineered by Albert Hanson.					
1904	"The first thermionic (vacuum-tube) diode was designed by John Ambrose Fleming.
 - contained a cathode and a plate
 - a.k.a. the Fleming valve"					
1911	The Computing-Tabulating-Recording Company (the predecessor to IBM) was founded.					
1921	RadioShack was founded.					
1934	The first uninterruptible power supply (UPS) was made. 					
1937	The Harvard Mark I ASCC (automatic sequence-controlled calculator) was designed by Howard Aiken, but not yet finished.					
1938	"Samsung was founded.
 - would become one of the largest NAND flash memory chip manufacturers in the world."					
1939	"Hewlett-Packard was founded.
 - in Palo Alto, CA"					
1940s: Advancements in calculator and transistor technology.						
c. 1941	"The first finished and functional printed circuit board was created by Paul Eisler.
 - later designs would feature a solder mask - a thin layer of polymer applied to the copper plane of the board, protecting most of the circuit from unintentional soldering (solder bridges),
   oxidation, and other environmental influences, giving the PCB its iconic green look. "					
c. 1944				The first handheld mechanical calculator - the Curta - was invented by Curt Hertzstark. 		
1944	"The Mark I ASCC was finished. 
 - became the first and the world's largest electro-mechanical computer. "					
	JETEC (Joint Electron Tube Engineering Council) was formed as a coalition between the RMA (Radio Manufacturers Association) and the NEMA (National Electrical Manufacturers Association).					
1945	"JFET (junction gate field-effect transistor) was patented by Heinrich Welker.
 - a design that was never successfully demostrated. "					
	John von Neumann introduced the von Neumann architecture.					
1946	"ENIAC was born. 
 - ""the world's first electronic, large-scale, general-purpose digital computer""
 - could solve equations
 - could perform calculations on large values
 - a 1000 times faster than an electro-mechanical computer, like Mark-I
 - stands for ""Electronic Numerical Integrator And Computer"""					
1947	"The first bipolar point-contact transistor was invented by John Bardeen, Walter Brattain and William Shockley at Bell Labs.
 - the first semiconductor amplifier, but could also function as a switch
 - used for storing bits
 - a piece of silicon doped with phosphorus for extra electrons (N-type doping) and boron for electron holes (P-type doping)
 - typically comes with three terminals: base (minimum of 0.7V over base to function), emitter/source, and collector/drain
 - collector is slightly larger than the emitter to avoid overheating
 - NPN and PNP doping models
 - the first transistor design to be successfully demonstrated"					
1948	William Shockley would improve on the transistor design with the idea of a BJT (bipolar junction) transistor.					
	"The Manchester Baby, the first Small-Scale Experimental Machine (SSEM) and the first electronically-stored-program computer, was born.
 - https://en.wikipedia.org/wiki/Manchester_Baby"					
1949	The first sort of Assembly programming language, "Contracted Notation", was authored by Kathleen Booth.					
1950s: The first compilers, advancements in electrical engineering.						
1950	"The SWAC (Standards Western Automatic Computer) was designed and built in Los Angeles, CA.
 - memory was stored in Williams tubes
 - used magnetic data storage drums"					
1952	Perhaps the first compiler ever written was for the A-0 programming language. 					
1956	General Motors gets the first operating system ever, the GM-NAA I/O.					
1957	A team lead by John Backus developed one of the first compilers ever written - for the FORTRAN language. 					
1958	"Jack Kilby developed the first integrated circuit (IC, a.k.a. microchip).
 - manufactured using the planar process and the surface passivation process. "					
	DARPA was founded.					
	"JETEC was reformed as the Joint Electron Device Engineering Council (JEDEC) Solid State Technology Association.
 - the idea for the move was to include work on solid-state devices"					
1959	"The first MOSFET (metal-oxide semiconductor field-effect transistor) was developed by Mohamed Atalla and Dawon Kahng at Bell Labs.
 - the designs were specifically for PMOS logic and NMOS logic. "					
	"Robert Noyce invented the first silicon chip.
 - also called a monolithic (on a single piece of crystal, or fibre glass) integrated circuit chip
 - developed at Fairchild Semiconductor"					
1960s: Storing bits, Unix, early networking, early bus systems.						
1960s	CROS and TROS capacitor-based systems were some of the first to store bits of data. 					
1961				The first CTSS (compatible time-sharing system) was demonstrated.		
			"The foundations for Ecma were laid down.
 - stands for European Computer Manufacturers Association "			
1962	Spacewar! was created and developed. 					
1963	A design for CMOS (complimentary metal-oxide semiconductor) logic, conceived by Chih-Tang Sah, was published in a research paper.					
1964	MSI (medium-scale integration) was first demonstrated by Frank Wanlass with 120 transistors on a single chip serving as a 16-bit shift register.					
			"CDC 6600 became the first fully functioning computer system to feature a load-store architecture.
 - also became the first fully functioning supercomputer (mainframe). "			
			"A memory cell model was proposed by Arnold Farber and Eugene Schling for storing a bit.
 - used a transistor
 - used a latch
 - a form of DRAM"			
			"The BASIC programming language was developed by John Kemeny and Thomas Kurtz.
 - designed to be easy to learn and use
 - stands for ""Beginner’s All-Purpose Symbolic Instruction Code""
 - general-purpose
 - high-level
 - started life as being non-structured
> 10 FOR X=1 TO 3
> 20 PRINT ""HELLO WORLD""
> 30 NEXT X
> RUN
____________________________________________________________________
> 10 PRINT CHR$(205.5+RND(1));:GOTO 10
> RUN
____________________________________________________________________
> LOAD ""D2:MUNCHKIN.BAS""
> LIST
> RUN
____________________________________________________________________
> 10 INPUT ""What is your name: ""; U$
> 20 PRINT ""Hello ""; U$"			
1965	"A company named Sylvania manufactured some of the first ROM chips.
 - 256-bit
 - bipolar
 - TTL (time-to-live)"					
	"An electronic Toshiba calculator was built with a 16-bit DRAM silicon chip. 
 - 80 transistors, 64 resistors, and four diodes
 - 180 bits"					
1966	"Robert Dennard invents a memory cell with a single transistor and a single capacitor.
 - capable of storing a bit of data"					
1967				The first prototype of a digital handheld calculator was designed by Jack Kilby and his team over at Texas Instruments. 		
	The O26 text editor was written for the CDC 6000 models. 					
	"First ASICs, highly specialized chips, were engineered using bipolar gate array technology.
 - ASIC stands for application-specific integrated circuit, a very specialized IC
 - they are hardwired, which means that changing the design would lead to starting over and making another ASIC"					
1968	Robert Dennard gets a patent for his invention of the first memory cell.					
			"Intel was formed.
 - Robert Noyce and Gordon Moore founded the company in Mountain View, CA. "			
1969	The first human beings to step on the Moon. 					
			"AMD (Advanced Micro Devices, Inc.) was founded in Sunnyvale, CA.
 - later on would manufacture video cards that do not need drivers for Linux gaming."			
			"The first version of Unix was created on a PDP-7 mini-computer by Ken Thompson and Dennis Ritchie. 
 - at least 512K of memory. "			
			"Telnet (Teletype Network) was developed. 
 + (1) a protocol - rules for two-way communication, written in text/code; 
 + (2) the software that follows those rules. Installed on both the client device 
    and the server device. The software is a command-line utility for editing files 
    and running programs. 
 - still in use (as of 2023) for network system administration and basic text 
   communication. "			
			"ARPANET (Advanced Research Projects Agency Network), a packet-switched computer network, was introduced along with a dedicated router.
 - regarded as the first fully functioning P2P (peer-to-peer) network
 - P2P networking allows every client be a server to others, eschewing the arrangement of 
   a centralized client-server system. This type of networking would become very popular 
   with engineers of file-sharing systems.
 - was employed strictly for academic purposes."			
			CompuServe was formed.			
1970s: TCP/IP, C, punch cards, early tech giants.						
1970	"The Intel 1103 became the first commercially available DRAM IC.
 - a DRAM cell holds a bit in the form of a positive or negative charge in a capacitor tied to access transistors
 - the design displaced magnetic-core memory off the market
 - small, low-cost"					
	The first commercially successful handheld digital calculators were made in Japan. 					
			"The first computer mouse was patented.
 - design by Douglas Engelbart and Bill English"			
			"The Forth programming language was developed.
 - used in some architectures for writing BIOS/UEFI firmware. 
> : rc4_init (comment here)
>     256 min TO KeyLen    TO KeyAddr"			
			"The Pascal programming language was developed.
 - imperative, procedural language
 - static, strong, safe typing
 - lexical scope
> var F,L:real;
> write('n=');readln(n);
> FOR i:=1 TO n DO
> begin
> end;"			
1971	"The 10 µm semiconductor fabrication process was commercialized. 
 - http://www.wagnercg.com/Portals/0/FunStuff/AHistoryofMicroprocessorTransistorCount.pdf"					
			"Intel 4004 was created - the first ever microprocessor (CPU on a single chip). 
 - general-purpose."			
			"The first line of 8-in. floppy disks came out. 
 - could store up to 160KB of data
 - read-only"			
1972		First generation of video game consoles was born. 	First edition of C was developed by D. Ritchie, but not released. 			
1973			A Smalltalk IDE and one of the first GUIs was first integrated into the system design for Xerox Alto computers.			
			"Ethernet was designed by Bob Metcalfe.
 - David Boggs created the first Ethernet card."			
			"Community Memory (CM) was created.
 - the first public BBS (bulletin board system)
 - featured the SDS 940 timesharing system
 - a 110 baud connection to a remote teleprinter"			
			ed! became the original text editor for Unix.			
			"Unix Version 4 was developed, with the firmware having been written in C.
 - nearly hardware-independent
 - portable
 - was not deemed as profitable"			
1974	x86 CISC assembly was first designed for the 8-bit Intel 8080 processor. 					
	The 6 µm semiconductor fabrication process was commercialized. 					
			The CP/M operating system was completed.			
			The first iteration of SQL was released.			
1975			Microsoft was born. 			
			BIOS became an idea.			
			"IBM's John Cocke began designing the IBM 801, the first ever RISC ISA.
 - the idea was to develop a 24-bit processor as an idea for a digital phone switch."			
			"The IBM SCAMP computer was introduced.
 - Not quite as portable as the Osborne I."			
			"The MOS Technology 6502 processor was introduced. 
 - CISC- and RISC-like
 - 8-bit processor
 - 16-bit address bus
 - little-endian"			
			"BitBlit is conceived and employed by Diana Merry, Dan Ingalls, and other engineers at Xerox PARC. 
 - a type of ROP (rasterization operation)
 - used for image compositing, masking, and alpha blending"			
			First showcase of VCR and VHS technology. 			
1976		The 2nd gen was born. 	Apple was founded. 			
			The first TCP/IP router was developed with the leadership of Ginny Strazisar.			
			"Z80 (8-bit CISC) assembly was released for the Zilog Z80 processor. 
 - 8-bit data, 16-bit addresses. 
 - Developed during the previous year. "			
			"The Integer BASIC interpreter was written by Steve Wozniak for 
Apple I and next year for Apple II. 
 - Housed in ROM. "			
			The vi text editor was created by Bill Joy. 			
			The first Emacs text editor was developed by Richard Stallman. 			
1977	The 3 µm semiconductor fabrication process was commercialized. 					
			Oracle was founded by Larry Ellison, Bob Miner, and Ed Oates as Software Development Laboratories (SDL).			
			Atari 2600 came out. 			
			"Apple II saw the light of day. 
 - 4K - 48KB of RAM. 
 - 4-color graphics (CMBW). 
 - 280x192 pixels. 
 - 12KB of auxilliary memory. "			
			"A group of companies including Microsoft developed the FAT (File Allocation Table) filesystem.
 - Originally intended for floppy disks, its design would be extrapolated towards 
   devices such as hard drives.
 - Came in the following iterations: 8-bit FAT, FAT12, FAT16, FAT16B, FAT32, ExFAT, 
   FATX, FAT+. "			
			"UC Berkley started the BSD (Berkley Software Distribution) project.
 - under the leadership of Bill Joy
 - became a part of the Unix Wars"			
			"Bantval Jayant Baliga proposed the design of the first IGBT (insulated-gate bipolar transistor).
 - this device would later prove to be able to handle high-voltage currents unlike a MOSFET."			
			The TRS-80 microcomputer system came out. 			
			The Mitchell Waite Group was founded. 			
1978			The 16-bit Intel 8086 (x86) microprocessor was released. 			
			"ARMASM graduated to working with 16-bit processors.
 - A CISC counterpart, the x86 assembly, joined the game, going 
   up against ARM. "			
			Apple DOS was finally launched. 			
			The first edition of C finally came out, developed by D. Ritchie. 			
			Acorn Computers Ltd. was founded.			
			Work began on Apple Lisa. 			
			"The SSD (solid state drive) was invented.
 - first it was rooted in RAM
 - engineered at StorageTeK"			
			"Work began on the OSI model for networking.
 - consists of the Basic Reference Model and a set of protocols. 
 - the Basic Reference model: seven layers to make networking happen 
   (physical, data link, network, transport, session, presentation, and application)."			
c. 1979			"VLSI was incorporated into IC manufacturing.
 - a process of placing millions of MOS transistors (not to be confused with MOSFETs) 
   onto a single chip
 - VLSI stands for ""very large-scale integration"""			
			"The W Window System was developed for Unix.
 - overlapping windows
 - mouse support
 - GUI toolkit
 - developed at the Stanford University"			
1979			"The Intel 8088 came out. 
 - Also a 16-bit CPU. 
 - The first IBM PC used this microprocessor. 
 - 4.77 MHz"		 	
			"The Bourne shell was released.
 - was built on concepts from the Thompson shell and the Mashey shell."			
			Intel 8087 math co-processor was first mass-produced. 			
			TMS9918 video display processor was first engineered by Texas Instruments.			
			"Usenet protocol was first implemented for Unix telecommunications. 
 - used dial-up network architecture. 
 - tied to Telnet. "			
			Usenet discussion platform was established.			
			"The first BBS (bulletin board system) was in development. 
 - All it really needed was a phone, a modem, and a PC with appropriate BBS 
   software. "			
1980s: Apple II, DOS, graphics innovations, VGA adapters, open-source software, assemblers, Turbo C, C++.						
			The future of open-source software was compromised thanks to Microsoft. 			
c. 1980			MOS 6502 macro assembler Merlin was released for Apple II DOS. 			
			Sam text editor was created by Rob Pike.			
1980			IBM 801 RISC ISA development reached its end.			
			VIC-20 came out.			
			"""The Design and Application of a Retargetable Peephole Optimizer"" by Christopher Fraser and Jack W. Davidson was published.
 - Fraser proposed the concept of the titular program that improves instruction sequences
 - he also proposed the design and use of the RTL (register-transfer language)
 - RTL looks like an amalgamation of Assembly and Lisp
 - used by a variety of compilers, most notably GCC"			
			UDP protocol was first designed by IETF (Internet Engineering Task Force).			
			Ethernet became publicly available.			
			Usenet was first made publicly accessible.			
			"IPv4 was developed.
 - 32 bits would allow for over 4 billion unique IP addresses (2^32 = 4.29 * 10^9).
 - addresses are spelled out using the decimal system."			
			H&R Block acquired CompuServe.			
1981	The 1.5 µm semiconductor fabrication process was commercialized. 					
	"16-bit arcade hardware
 - Turbo"	The advent of polygons - wire-frames. 	Brad Cox and Tom Love began work on Objective-C. 			
			"CGA (Color Graphics Adapter) released by IBM. 
 - 4-color 
 - one screen buffer image drawn at every frame. 
 - 160x100 res video mode with 16 colors. 
 - with 320x200 would allow for cyan, magenta, black, and white. 
 - with 640x200 would allow for black and a chosen color. 
 - can scale from 320x200 (standard) to 640x480."			
			The first window system for Unix was completed by Rob Pike. 			
			Osborne I, the first truly portable computer, saw the light of day.			
